constructorId,constructorRef,name,nationality,url,colorPrimary,colorSecondary
1,"mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren",#F47600
2,"bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber",#FFFFFF,#16588E
3,"williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering",#1868DB
4,"renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One",#f7d747
5,"toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso",#00144A,#EC0742
6,"ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari",#EF1A2D
7,"toyota","Toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing",#EB0A1E,#FFFFFF
8,"super_aguri","Super Aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1",#FFFFFF,#e20010
9,"red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing",#121F45,#FF004C
10,"force_india","Force India","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India",#00A85C,#F27836
11,"honda","Honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1",#FFFFFF,#f30f34
12,"spyker","Spyker","Dutch","http://en.wikipedia.org/wiki/Spyker_F1",#F1C31E,#C0C0C0
13,"mf1","MF1","Russian","http://en.wikipedia.org/wiki/Midland_F1_Racing",#ff0000,#333333
14,"spyker_mf1","Spyker MF1","Dutch","http://en.wikipedia.org/wiki/Midland_F1_Racing"
15,"sauber","Sauber","Swiss","http://en.wikipedia.org/wiki/Sauber_Motorsport",#01C00E
16,"bar","BAR","British","http://en.wikipedia.org/wiki/British_American_Racing",#F1C31E,#C0C0C0
17,"jordan","Jordan","Irish","http://en.wikipedia.org/wiki/Jordan_Grand_Prix",#FFDD00
18,"minardi","Minardi","Italian","http://en.wikipedia.org/wiki/Minardi",#FFFF00
19,"jaguar","Jaguar","British","http://en.wikipedia.org/wiki/Jaguar_Racing",#004225
20,"prost","Prost","French","http://en.wikipedia.org/wiki/Prost_Grand_Prix",#003B5C
21,"arrows","Arrows","British","http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International",#FF6600,#FF6600
22,"benetton","Benetton","Italian","http://en.wikipedia.org/wiki/Benetton_Formula",#008860
23,"brawn","Brawn","British","http://en.wikipedia.org/wiki/Brawn_GP",#FFFFFF,#D1E200
24,"stewart","Stewart","British","http://en.wikipedia.org/wiki/Stewart_Grand_Prix",#FFFFFF,#2F4198
25,"tyrrell","Tyrrell","British","http://en.wikipedia.org/wiki/Tyrrell_Racing",#1b4971
26,"lola","Lola","British","http://en.wikipedia.org/wiki/MasterCard_Lola",#ed1b2c,#ed1b2c
27,"ligier","Ligier","French","http://en.wikipedia.org/wiki/Ligier",#0056ba
28,"forti","Forti","Italian","http://en.wikipedia.org/wiki/Forti",#FFD700,#005BAC
29,"footwork","Footwork","British","http://en.wikipedia.org/wiki/Footwork_Arrows",#FF0000,#FFFFFF
30,"pacific","Pacific","British","http://en.wikipedia.org/wiki/Pacific_Racing",#0033A0,#FFFFFF
31,"simtek","Simtek","British","http://en.wikipedia.org/wiki/Simtek",#6A1B9A,#FFFFFF
32,"team_lotus","Team Lotus","British","http://en.wikipedia.org/wiki/Team_Lotus",#006A4E,#FFFF00
33,"larrousse","Larrousse","French","http://en.wikipedia.org/wiki/Larrousse",#FF0000,#FFFF00
34,"brabham","Brabham","British","http://en.wikipedia.org/wiki/Brabham",#002F6C,#FFFFFF
35,"dallara","Dallara","Italian","http://en.wikipedia.org/wiki/Dallara",#FFD100,#005BAC
36,"fondmetal","Fondmetal","Italian","http://en.wikipedia.org/wiki/Fondmetal",#2C2C2C,#FFD100
37,"march","March","British","http://en.wikipedia.org/wiki/March_Engineering",#FF0000,#FFFFFF
38,"moda","Andrea Moda","Italian","http://en.wikipedia.org/wiki/Andrea_Moda_Formula",#000000,#FFFFFF
39,"ags","AGS","French","http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives",#002147,#FFD100
40,"lambo","Lambo","Italian","http://en.wikipedia.org/wiki/Modena_(racing_team)",#FFD700,#006847
41,"leyton","Leyton House","British","http://en.wikipedia.org/wiki/Leyton_House",#00B2A9,#FFFFFF
42,"coloni","Coloni","Italian","http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems",#FFD100,#005BAC
44,"eurobrun","Euro Brun","Italian","http://en.wikipedia.org/wiki/Euro_Brun",#B22222,#FFD100
45,"osella","Osella","Italian","http://en.wikipedia.org/wiki/Osella",#0033A0,#FFFFFF
46,"onyx","Onyx","British","http://en.wikipedia.org/wiki/Onyx_(racing_team)",#000000,#FF69B4
47,"life","Life","Italian","http://en.wikipedia.org/wiki/Life_(Racing_Team)",#FF0000,#FFFFFF
48,"rial","Rial","German","http://en.wikipedia.org/wiki/Rial_%28racing_team%29",#0047AB,#FFD100
49,"zakspeed","Zakspeed","German","http://en.wikipedia.org/wiki/Zakspeed",#FF0000,#FFFFFF
50,"ram","RAM","British","http://en.wikipedia.org/wiki/RAM_Racing",#002147,#FFFFFF
51,"alfa","Alfa Romeo","Swiss","http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One",#AA0000,#FFFFFF
52,"spirit","Spirit","British","http://en.wikipedia.org/wiki/Spirit_(racing_team)",#FF0000,#FFFFFF
53,"toleman","Toleman","British","http://en.wikipedia.org/wiki/Toleman",#002147,#FFFFFF
54,"ats","ATS","Italian","http://en.wikipedia.org/wiki/ATS_(wheels)",#FFD100,#000000
55,"theodore","Theodore","Hong Kong","http://en.wikipedia.org/wiki/Theodore_Racing",#FF0000,#FFFFFF
56,"fittipaldi","Fittipaldi","Brazilian","http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29",#FFD100,#00A859
57,"ensign","Ensign","British","http://en.wikipedia.org/wiki/Ensign_%28racing_team%29",#FF0000,#002147
58,"shadow","Shadow","British","http://en.wikipedia.org/wiki/Shadow_Racing_Cars",#000000,#FFFFFF
59,"wolf","Wolf","Canadian","http://en.wikipedia.org/wiki/Walter_Wolf_Racing",#002147,#FFD100
60,"merzario","Merzario","Italian","http://en.wikipedia.org/wiki/Merzario",#00A859,#FF0000
61,"kauhsen","Kauhsen","German","http://en.wikipedia.org/wiki/Kauhsen",#FFD100,#000000
62,"rebaque","Rebaque","Mexican","http://en.wikipedia.org/wiki/Rebaque",#006341,#FF0000
63,"surtees","Surtees","British","http://en.wikipedia.org/wiki/Surtees",#002147,#FFFFFF
64,"hesketh","Hesketh","British","http://en.wikipedia.org/wiki/Hesketh_Racing",#FFFFFF,#FF0000
65,"martini","Martini","French","http://en.wikipedia.org/wiki/Martini_(cars)",#002147,#FFFFFF
66,"brm","BRM","British","http://en.wikipedia.org/wiki/BRM",#004225,#FF0000
67,"penske","Penske","American","http://en.wikipedia.org/wiki/Penske_Racing",#FF0000,#FFFFFF
68,"lec","LEC","British","http://en.wikipedia.org/wiki/LEC_(Formula_One)",#FF6600,#FFFFFF
69,"mcguire","McGuire","Australian","http://en.wikipedia.org/wiki/McGuire_(Formula_One)",#FFD100,#002147
70,"boro","Boro","Dutch","http://en.wikipedia.org/wiki/Boro_(Formula_One)",#FF0000,#FFFFFF
71,"apollon","Apollon","Swiss","http://en.wikipedia.org/wiki/Apollon_(Formula_One)",#0000FF,#FFFFFF
72,"kojima","Kojima","Japanese","http://en.wikipedia.org/wiki/Kojima_Engineering",#FFFFFF,#FF0000
73,"parnelli","Parnelli","American","http://en.wikipedia.org/wiki/Parnelli",#FFD100,#000000
74,"maki","Maki","Japanese","http://en.wikipedia.org/wiki/Maki_(cars)",#0000FF,#FFFFFF
75,"hill","Embassy Hill","British","http://en.wikipedia.org/wiki/Hill_(constructor)",#FF0000,#FFFFFF
76,"lyncar","Lyncar","British","http://en.wikipedia.org/wiki/Lyncar",#002147,#FF0000
77,"trojan","Trojan","British","http://en.wikipedia.org/wiki/Trojan_(Racing_team)",#FF6600,#FFFFFF
78,"amon","Amon","New Zealander","http://en.wikipedia.org/wiki/Amon_(Formula_One_team)",#002147,#FFD100
79,"token","Token","British","http://en.wikipedia.org/wiki/Token_(Racing_team)",#FFD100,#000000
80,"iso_marlboro","Iso Marlboro","British","http://en.wikipedia.org/wiki/Iso_Marlboro",#FF0000,#FFFFFF
